card,tcg,ck_price,mp_price,ck_pct,mp_pct,units,origin,ck_cal,ck_cal_pct,band,mp_market
Flow State,1.81,3.49,0.62,92.81767955801104,-65.74585635359117,7962.0,live,2.9874400000000003,65.05193370165748,$1-2,1.65
Flashback,3.84,6.49,2.56,69.01041666666667,-33.33333333333333,4968.0,live,5.55544,44.672916666666666,$2-5,
Erode,6.42,9.49,4.64,47.81931464174456,-27.72585669781932,5161.0,live,8.12344,26.533333333333346,$5-10,5.63
Cauldron of Essence,3.53,3.99,2.61,13.031161473087831,-26.06232294617564,4333.0,live,3.4154400000000003,-3.2453257790368144,$2-5,2.78
The Unbeatable Squirrel Girl,4.23,4.99,3.33,17.966903073286044,-21.27659574468085,4253.0,live,4.27144,0.9796690307328532,$2-5,4.37
Arcane Signet,0.48,0.99,0.4,106.25,-16.66666666666666,8344.0,live,0.84744,76.55,$0-1,0.47
Stock Up,1.0,0.79,0.31,-21.0,-69.0,6551.0,live,0.6762400000000001,-32.37599999999999,$1-2,
Sol Ring,1.59,2.79,1.4,75.47169811320754,-11.949685534591206,8498.0,live,2.38824,50.20377358490566,$1-2,1.49
Grave Researcher,2.05,2.79,1.77,36.097560975609774,-13.658536585365846,4095.0,live,2.38824,16.49951219512197,$2-5,
Fabled Passage,1.1,1.79,0.93,62.72727272727272,-15.454545454545457,8855.0,live,1.53224,39.29454545454545,$1-2,1.05
Return the Favor,0.43,0.49,0.15,13.953488372093023,-65.11627906976744,4947.0,live,0.41944,-2.4558139534883754,$0-1,0.4
Resonating Lute,1.65,1.29,0.76,-21.818181818181813,-53.93939393939393,3863.0,live,1.10424,-33.076363636363624,$1-2,1.61
Tablet of Discovery,2.07,1.99,1.3,-3.864734299516901,-37.19806763285023,5808.0,live,1.70344,-17.708212560386464,$2-5,1.79
Planar Engineering,1.53,0.79,0.52,-48.36601307189542,-66.01307189542483,3866.0,live,0.6762400000000001,-55.80130718954248,$1-2,1.36
Hex Magic,1.19,2.99,0.95,151.2605042016807,-20.16806722689076,7470.0,live,2.55944,115.07899159663866,$1-2,1.38
Captain America's Shield,1.34,2.29,0.81,70.89552238805969,-39.55223880597015,3997.0,live,1.96024,46.28656716417909,$1-2,0.99
Sink into Stupor,5.74,9.99,5.3100000000000005,74.0418118466899,-7.4912891986062675,3599.0,live,8.55144,48.97979094076653,$5-10,
Command Tower,0.33,0.79,0.21,139.3939393939394,-36.36363636363637,5335.0,live,0.6762400000000001,104.92121212121212,$0-1,0.24
Scheming Silvertongue,1.19,0.99,0.37,-16.806722689075627,-68.90756302521008,3382.0,live,0.84744,-28.786554621848737,$1-2,
Stormcarved Coast,2.47,3.49,1.39,41.29554655870445,-43.72469635627531,3294.0,live,2.9874400000000003,20.948987854251016,$2-5,2.0
"Mole Man, Moloid Master",1.19,3.49,0.51,193.27731092436977,-57.14285714285714,4722.0,live,2.9874400000000003,151.04537815126054,$1-2,1.2
Deathcap Glade,2.31,2.99,1.76,29.437229437229444,-23.80952380952381,3321.0,live,2.55944,10.798268398268393,$2-5,2.27
Sundown Pass,2.17,3.49,1.23,60.829493087557616,-43.31797235023041,3253.0,live,2.9874400000000003,37.67004608294933,$2-5,1.97
Mana Sculpt,0.89,0.79,0.15,-11.235955056179773,-83.14606741573034,3456.0,live,0.6762400000000001,-24.017977528089883,$0-1,0.73
Fell the Profane,3.66,5.99,3.42,63.66120218579236,-6.557377049180333,3100.0,live,5.12744,40.09398907103824,$2-5,
Vexing Bauble,2.61,4.49,1.44,72.03065134099619,-44.82758620689656,4655.0,live,3.84344,47.25823754789273,$2-5,2.25
Llanowar Elves,0.32,0.79,0.15,146.875,-53.125,4931.0,live,0.6762400000000001,111.325,$0-1,0.25
Fellwar Stone,0.9,1.79,0.72,98.88888888888889,-20.000000000000004,5360.0,live,1.53224,70.2488888888889,$0-1,0.8
Shared Roots,0.39,0.35,0.15,-10.256410256410266,-61.53846153846154,4227.0,live,0.2996,-23.179487179487182,$0-1,0.3
Reliquary Tower,3.67,4.99,3.4,35.96730245231608,-7.356948228882834,3568.0,live,4.27144,16.388010899182568,$2-5,3.3
"Moseo, Vein's New Dean",0.83,0.49,0.25,-40.963855421686745,-69.87951807228916,3121.0,live,0.41944,-49.46506024096385,$0-1,0.5
Emeritus of Woe,12.17,14.99,11.45,23.17173377156944,-5.916187345932626,2628.0,live,12.83144,5.43500410846344,$10-20,
Swamp (0269),0.77,1.29,0.35,67.53246753246754,-54.54545454545456,6901.0,live,1.10424,43.40779220779222,$0-1,
Feed the Swarm,0.3,0.49,0.15,63.33333333333334,-50.0,3547.0,live,0.41944,39.81333333333333,$0-1,0.15
Shattered Sanctum,1.59,2.79,0.78,75.47169811320754,-50.943396226415096,3199.0,live,2.38824,50.20377358490566,$1-2,1.37
Pinnacle Monk,1.7,3.49,1.68,105.29411764705884,-1.176470588235295,3507.0,live,2.9874400000000003,75.73176470588237,$1-2,
Witch Enchanter,4.31,6.49,3.49,50.58004640371232,-19.025522041763328,3480.0,live,5.55544,28.896519721577736,$2-5,
Spell Pierce,0.29,0.35,0.15,20.6896551724138,-48.27586206896552,3690.0,live,0.2996,3.3103448275862064,$0-1,0.15
Emeritus of Ideation,5.25,7.99,4.62,52.1904761904762,-11.999999999999998,2881.0,live,6.83944,30.27504761904761,$5-10,
Bender's Waterskin,0.81,1.79,0.75,120.98765432098764,-7.407407407407414,4117.0,live,1.53224,89.16543209876544,$0-1,0.96
Dina's Guidance,0.97,0.79,0.15,-18.55670103092783,-84.5360824742268,3176.0,live,0.6762400000000001,-30.28453608247422,$0-1,0.49
Practiced Offense,1.29,2.49,0.26,93.0232558139535,-79.84496124031007,4274.0,live,2.13144,65.22790697674418,$1-2,0.45
Cool but Rude,8.6,12.99,7.8,51.04651162790699,-9.302325581395348,2758.0,live,11.11944,29.295813953488363,$5-10,7.79
Mountain (0270),1.16,1.29,0.36,11.20689655172415,-68.9655172413793,6904.0,live,1.10424,-4.806896551724122,$1-2,
The Mind Stone,57.53,79.99,62.52,39.040500608378224,8.673735442377893,2492.0,live,68.47144,19.01866852077177,$50-100,62.51
Germination Practicum,10.26,9.99,8.33,-2.631578947368417,-18.81091617933723,2502.0,live,8.55144,-16.65263157894737,$10-20,8.5
Plains (0267),1.22,1.79,0.6,46.72131147540984,-50.81967213114754,6778.0,live,1.53224,25.593442622950825,$1-2,
